,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수,index_dt,index_rf,index_gbm,y_pred_dt,y_pred_rf,y_pred_gbm
73,5142,206458.2087,441681.686,206558.2087,441581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
74,5143,206458.2087,441581.686,206558.2087,441481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
75,5140,206458.2087,441881.686,206558.2087,441781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
76,5141,206458.2087,441781.686,206558.2087,441681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
77,5320,206658.2087,441681.686,206758.2087,441581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
78,5321,206658.2087,441581.686,206758.2087,441481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
79,5314,206658.2087,442281.686,206758.2087,442181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
80,5315,206658.2087,442181.686,206758.2087,442081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
81,5312,206658.2087,442481.686,206758.2087,442381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
82,5313,206658.2087,442381.686,206758.2087,442281.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
83,5318,206658.2087,441881.686,206758.2087,441781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
84,5319,206658.2087,441781.686,206758.2087,441681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
85,5316,206658.2087,442081.686,206758.2087,441981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
86,5317,206658.2087,441981.686,206758.2087,441881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
87,5290,206658.2087,444681.686,206758.2087,444581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
88,5291,206658.2087,444581.686,206758.2087,444481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
89,5289,206658.2087,444781.686,206758.2087,444681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
90,5294,206658.2087,444281.686,206758.2087,444181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
91,5295,206658.2087,444181.686,206758.2087,444081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
92,5292,206658.2087,444481.686,206758.2087,444381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
93,5293,206658.2087,444381.686,206758.2087,444281.686,0.0,1.0,0,0,0,0.0,0,0.10854636662315895,0.09727686267818936,0.08532995192176465,1,1,1
94,5306,206658.2087,443081.686,206758.2087,442981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
95,5307,206658.2087,442981.686,206758.2087,442881.686,0.0,1.0,0,0,0,0.0,0,0.10854636662315895,0.09727686267818936,0.08532995192176465,1,1,1
96,5304,206658.2087,443281.686,206758.2087,443181.686,0.0,0.0,0,0,0,202.5,0,0.0045013422436628375,0.005372393894419377,0.005850919451486027,1,1,1
97,5305,206658.2087,443181.686,206758.2087,443081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
98,5310,206658.2087,442681.686,206758.2087,442581.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
99,5311,206658.2087,442581.686,206758.2087,442481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
100,5308,206658.2087,442881.686,206758.2087,442781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
101,5309,206658.2087,442781.686,206758.2087,442681.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
102,5298,206658.2087,443881.686,206758.2087,443781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
103,5299,206658.2087,443781.686,206758.2087,443681.686,1.0,0.0,0,0,0,320.81,0,-0.018890775776492418,-0.0037986695432462875,-0.014968790886408371,1,1,1
104,5296,206658.2087,444081.686,206758.2087,443981.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
105,5297,206658.2087,443981.686,206758.2087,443881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
106,5302,206658.2087,443481.686,206758.2087,443381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
107,5303,206658.2087,443381.686,206758.2087,443281.686,1.0,1.0,0,0,0,0.0,0,0.0825243532901753,0.08496699468917181,0.06109185995273291,1,1,1
108,5300,206658.2087,443681.686,206758.2087,443581.686,0.0,1.0,0,0,0,0.0,0,0.10854636662315895,0.09727686267818936,0.08532995192176465,1,1,1
109,5301,206658.2087,443581.686,206758.2087,443481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
110,5482,206858.2087,443281.686,206958.2087,443181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
111,5483,206858.2087,443181.686,206958.2087,443081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
112,5480,206858.2087,443481.686,206958.2087,443381.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
113,5481,206858.2087,443381.686,206958.2087,443281.686,1.0,0.0,0,0,0,0.0,0,-0.02602201333298365,-0.012309867989017547,-0.02423809196903174,1,1,1
114,5486,206858.2087,442881.686,206958.2087,442781.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
115,5487,206858.2087,442781.686,206958.2087,442681.686,2.0,0.0,0,0,0,0.0,0,-0.0520440266659673,-0.024619735978035094,-0.04847618393806348,1,1,1
116,5484,206858.2087,443081.686,206958.2087,442981.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
117,5485,206858.2087,442981.686,206958.2087,442881.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
118,5474,206858.2087,444081.686,206958.2087,443981.686,3.0,0.0,0,0,0,0.0,0,-0.07806603999895095,-0.036929603967052645,-0.07271427590709523,1,1,1
119,5475,206858.2087,443981.686,206958.2087,443881.686,1.0,1.0,0,0,0,0.0,0,0.0825243532901753,0.08496699468917181,0.06109185995273291,1,1,1
120,5472,206858.2087,444281.686,206958.2087,444181.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
121,5473,206858.2087,444181.686,206958.2087,444081.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
122,5478,206858.2087,443681.686,206958.2087,443581.686,0.0,0.0,0,0,0,23.85,0,0.0005301580864758453,0.0006327486142316155,0.0006891082909527988,1,1,1
123,5479,206858.2087,443581.686,206958.2087,443481.686,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,1,1
