,id,left,top,right,bottom,CCTV수,교차로수,주차면수,N버스_노선개수,지하철역수,가게면적,음주사고수
2156,1742,202658.2087,443481.686,202758.2087,443381.686,0.0,0.0,0,0,0,0.0,0
2157,1740,202658.2087,443681.686,202758.2087,443581.686,0.0,0.0,0,1,0,2006.0,0
2158,1741,202658.2087,443581.686,202758.2087,443481.686,1.0,1.0,0,1,0,0.0,0
2159,1730,202658.2087,444681.686,202758.2087,444581.686,1.0,0.0,0,0,0,769.17,0
2160,1731,202658.2087,444581.686,202758.2087,444481.686,1.0,0.0,0,0,0,831.08,0
2161,1728,202658.2087,444881.686,202758.2087,444781.686,1.0,0.0,59,0,0,0.0,0
2162,1729,202658.2087,444781.686,202758.2087,444681.686,0.0,0.0,0,0,0,0.0,0
2163,1734,202658.2087,444281.686,202758.2087,444181.686,1.0,0.0,0,0,0,4439.22,0
2164,1735,202658.2087,444181.686,202758.2087,444081.686,3.0,0.0,0,0,0,1456.43,0
2165,1732,202658.2087,444481.686,202758.2087,444381.686,0.0,1.0,0,0,0,246.8,1
2166,1733,202658.2087,444381.686,202758.2087,444281.686,1.0,0.0,0,0,0,222.33,0
2167,1706,202658.2087,447081.686,202758.2087,446981.686,1.0,0.0,0,0,0,295.72,0
2168,1707,202658.2087,446981.686,202758.2087,446881.686,0.0,0.0,0,0,0,2072.71,0
2169,1704,202658.2087,447281.686,202758.2087,447181.686,0.0,0.0,0,0,0,222.46,0
2170,1705,202658.2087,447181.686,202758.2087,447081.686,2.0,0.0,0,0,0,838.35,0
2171,1710,202658.2087,446681.686,202758.2087,446581.686,0.0,0.0,0,0,0,887.08,0
2172,1711,202658.2087,446581.686,202758.2087,446481.686,2.0,0.0,0,0,0,845.41,0
2173,1708,202658.2087,446881.686,202758.2087,446781.686,1.0,0.0,0,0,0,2603.32,0
2174,1709,202658.2087,446781.686,202758.2087,446681.686,0.0,1.0,0,0,0,2746.75,0
2175,1698,202658.2087,447881.686,202758.2087,447781.686,0.0,0.0,0,0,0,0.0,0
2176,1699,202658.2087,447781.686,202758.2087,447681.686,0.0,0.0,0,0,0,0.0,0
2177,1696,202658.2087,448081.686,202758.2087,447981.686,0.0,0.0,0,0,0,0.0,0
2178,1697,202658.2087,447981.686,202758.2087,447881.686,0.0,0.0,0,0,0,0.0,0
2179,1702,202658.2087,447481.686,202758.2087,447381.686,1.0,0.0,0,0,0,484.49,0
2180,1703,202658.2087,447381.686,202758.2087,447281.686,1.0,0.0,0,0,0,0.0,0
2181,1700,202658.2087,447681.686,202758.2087,447581.686,2.0,1.0,0,0,0,811.14,0
2182,1701,202658.2087,447581.686,202758.2087,447481.686,1.0,0.0,0,0,0,3188.16,0
2183,1722,202658.2087,445481.686,202758.2087,445381.686,2.0,0.0,0,0,0,23.1,0
2184,1723,202658.2087,445381.686,202758.2087,445281.686,2.0,0.0,0,0,0,42.92,0
2185,1720,202658.2087,445681.686,202758.2087,445581.686,1.0,0.0,0,0,0,40.0,0
2186,1721,202658.2087,445581.686,202758.2087,445481.686,1.0,0.0,0,0,0,0.0,0
2187,1726,202658.2087,445081.686,202758.2087,444981.686,1.0,0.0,0,0,0,0.0,0
2188,1727,202658.2087,444981.686,202758.2087,444881.686,0.0,0.0,0,0,0,0.0,0
2189,1724,202658.2087,445281.686,202758.2087,445181.686,1.0,0.0,0,0,0,396.04,0
2190,1725,202658.2087,445181.686,202758.2087,445081.686,1.0,0.0,0,0,0,461.94,0
2191,1714,202658.2087,446281.686,202758.2087,446181.686,0.0,0.0,0,0,0,791.28,0
2192,1715,202658.2087,446181.686,202758.2087,446081.686,0.0,0.0,0,0,0,594.18,0
2193,1712,202658.2087,446481.686,202758.2087,446381.686,1.0,0.0,0,0,0,179.15,0
2194,1713,202658.2087,446381.686,202758.2087,446281.686,1.0,0.0,0,0,0,96.25,0
2195,1718,202658.2087,445881.686,202758.2087,445781.686,4.0,0.0,0,0,0,92.4,0
2196,1719,202658.2087,445781.686,202758.2087,445681.686,1.0,0.0,0,0,0,4478.23,1
2197,1716,202658.2087,446081.686,202758.2087,445981.686,2.0,1.0,0,0,0,511.12,1
2198,1717,202658.2087,445981.686,202758.2087,445881.686,2.0,0.0,0,0,0,0.0,0
2199,1694,202658.2087,448281.686,202758.2087,448181.686,0.0,0.0,0,0,0,0.0,0
2200,1695,202658.2087,448181.686,202758.2087,448081.686,0.0,0.0,0,0,0,0.0,0
2201,1692,202658.2087,448481.686,202758.2087,448381.686,0.0,0.0,0,0,0,0.0,0
2202,1693,202658.2087,448381.686,202758.2087,448281.686,0.0,0.0,0,0,0,0.0,0
2203,1898,202858.2087,445681.686,202958.2087,445581.686,1.0,0.0,0,0,0,178.41,0
2204,1899,202858.2087,445581.686,202958.2087,445481.686,0.0,0.0,0,0,0,183.15,0
